Org_Number	Organization	ASN	POP
2	PhirePhly Design	7034	HEFMT2
3	Mojo Networks	7247	HEFMT2
4	Null Route Networks	13925	HEFMT2
5	Loma Broadband	64260	HEFMT2
6	Meadowridge Networks, Inc.	396480	HEFMT2
7	Bungi Communications	6596	HEFMT2
8	HalNet	29962	HEFMT2
9	Hurricane Electric	6939	HEFMT2
10	Little Moe, LLC	43126	HEFMT2
11	Invalid Network	53758	HEFMT2
12	Gushi Systems	393507	HEFMT2
13	Two P	6140	HEFMT2
14	WestConnect Communications	53356	HEFMT2
15	Cofractal	26073	HEFMT2
16	xTom	62805	HEFMT2
19	RackAloha	31807	HEFMT2
20	Cofractal	26073	HEFMT2
21	UNMETERED	54133	HEFMT2
22	Sky Fiber Internet	32212	HEFMT2
24	aussie.net	7175	HEFMT2
25	Sail Internet	396097	HEFMT2
26	Wholesale Internet	32097	HEFMT2
27	The Vegetable Group	397138	HEFMT2
28	xTom DNS	6233	HEFMT2
30	Converse in Code Inc.	32864	HEFMT2
31	Ridge Wireless Inc.	33452	HEFMT2
32	Auth-Servers	35829	HEFMT2
33	The Daedelus. Group	17197	HEFMT2
34	Tekify Fiber and Wireless	46886	HEFMT2
35	6connect, Inc	8038	HEFMT2
36	Whale Blue	138997	HEFMT2
38	WIDE (M Root)	7500	HEFMT2
39	KPFA	397715	HEFMT2
40	Linux Global	397781	HEFMT2
41	Linux Global	397781	HEFMT2
42	Williamslabs LLC	397990	HEFMT2
43	Tiger Technologies	47002	HEFMT2
44	Opus One	6373	HEFMT2
45	Your Town Online, Inc	11472	HEFMT2
46	Minnesota VoIP	32621	HEFMT2
47	Joe's Datacenter, LLC	19969	HEFMT2
48	Misaka Network, Inc.	57695	HEFMT2
49	Arrow Group Inc.	20119	HEFMT2
50	Xiber LLC	393950	HEFMT2
51	Fritz Labs	398065	HEFMT2
52	EDGOO NETWORKS	47787	HEFMT2
53	Digitalmonks LLC	400006	HEFMT2
55	Verus Corporation	26156	MNVOIP
56	Paul Bunyan Communications	14371	MNVOIP
57	EMM Consulting, LLC	53612	HEFMT2
58	Lobo Internet Services, Limited	11996	HEFMT2
59	Mythic Beasts Ltd	60011	HEFMT2
60	ISC (F-Root)	27321	HEFMT2
61	Coastside.Net	19306	HEFMT2
62	Semicubic Systems	11661	HEFMT2
63	Network Time Foundation	10946	HEFMT2
64	PFCS Corporation	14629	HEFMT2
65	sol.net Network Services	14536	HEFMT2
67	Hoyos Consulting LLC	53597	MNVOIP
68	Gandi LiveDNS	209453	HEFMT1
70	WiLine Networks Inc.	33544	HEFMT1
71	Conduit Implementations, LLC	394894	HEFMT2
72	Stellar Association	36374	MNVOIP
73	NetInformatik Inc.	397270	HEFMT2
74	WIZ	54415	HEFMT2
75	June Slater	42615	HEFMT2
76	EricNet	206628	HEFMT2
77	Nathan Sales	34553	HEFMT2
78	ipFail Networks	62538	HEFMT2
79	Ennwise	11805	HEFMT2
80	Emerald Onion	396507	HEFMT2
81	Everythink Innovations Ltd	397131	HEFMT2
82	Abc-Hosters LLC	62997	HEFMT2
83	NightRise LLC	396388	HEFMT2
84	Tiny Tiny Computing	398419	HEFMT2
85	Endless Group	42847	HEFMT2
86	Collective Gateway	139909	HEFMT2
87	Ohanacraft	398447	HEFMT2
88	10VPN Research Network LTD	49134	HEFMT2
89	UPLOL INC	42495	HEFMT2
90	VNP DIGITAL LTD.	56328	HEFMT2
91	Nakayama Systems	36710	HEFMT2
92	IPng Networks	8298	HEFMT2
93	Openfactory GmbH	58299	HEFMT2
94	Lasagna Ltd	208590	HEFMT2
95	GoCodeIt	207609	HEFMT2
96	Harmony Hosting SARL	49434	HEFMT2
97	Digital Desert	53988	HEFMT2
98	Securebit AG	58057	HEFMT2
99	Yugandhar Veeramachaneni	207722	HEFMT2
100	AS398328	398328	HEFMT2
101	JeffColo	395502	HEFMT2
102	Netrix SAS	62000	HEFMT2
103	AIRGAPPED	6556	HEFMT2
104	BayNIC	397460	HEFMT2
106	The Fire Horn, Inc.	397795	HEFMT2
107	doof.net	395823	HEFMT2
108	Team Cymru	23028	HEFMT2
109	Fluidsoft Inc.	11605	HEFMT2
110	System In Place	398493	HEFMT2
111	Datablocks	25948	HEFMT2
112	Nato Research Lab	46997	HEFMT2
113	VIRTUASYS LLC	13559	HEFMT2
114	Netnod	8674	HEFMT2
115	NetActuate, Inc	36236	HEFMT2
116	TheIPGuys.Net, LLC dba OneNet Global	46131	MNVOIP
117	eXperimental Computing Facility	394119	HEFMT2
119	Genesis Technology Communication, LLC	30032	MNVOIP
120	BankOnIT	46416	HEFMT2
121	CodingFlyBoy	399242	HEFMT2
122	Rosen Research LLC	54364	HEFMT2
123	Sapinet	39421	HEFMT2
124	SupraNet Communications	4150	MNVOIP
125	TeraSwitch, Inc.	20326	HEFMT2
126	Central Valley Internet	399338	HEFMT2
127	Pigs Can Fly Labs LLC	399306	HEFMT2
128	Puget Sound Networks, LLC	208188	HEFMT2
129	Servpac, Inc.	36315	HEFMT2
130	Hexhu	138181	HEFMT2
131	Pal Communications LLC	26370	HEFMT2
132	Vital Network Group	62296	HEFMT2
133	ENS	395915	HEFMT2
134	Mach Dilemma	40138	HEFMT2
135	Lightening Systems	399899	HEFMT2
136	ForwardingPlane, LLC - ZTVI Ventures	19625	HEFMT2
137	Hahn URL Research Labs	400070	HEFMT2
138	AetherPaw LLC	32248	HEFMT2
139	GalaxyGate	397031	HEFMT2
140	OneQode	140627	HEFMT2
141	Isogram	400555	HEFMT2
142	ifanr Inc.	394144	HEFMT2
143	uberduck.net	400679	HEFMT2
144	DAOport OU	210000	HEFMT2
145	Ryamer LLC	400587	HEFMT2
146	N-LAB	399914	HEFMT2
147	Ansible Networks	14570	MNVOIP
148	hkgo LLC	945	MNVOIP
149	Misaka Network, Inc.	917	HEFMT2
150	DMIT, Inc.	906	HEFMT2
151	RJN Services	400719	HEFMT2
152	LS Enterprises	398931	HEFMT2
153	Kerfuffle	35008	HEFMT2
154	Volt Broadband	62809	HEFMT2
155	Dbolical	55651	HEFMT2
156	Gregory Shapiro	199518	HEFMT2
157	Prodigi	138398	HEFMT2
158	DeLong Consulting	1734	HEFMT2
159	Asymptote Network	53616	HEFMT2
160	Universal Exports	34615	HEFMT2
161	Society of Young Enterprise Engineers	25944	MNVOIP
162	Difficult Computing LLC	32872	HEFMT2
163	Klazo	54746	HEFMT2
164	DODO K.K.	63801	HEFMT2
165	Xentain Solutions Inc.	15353	HEFMT2
166	Vorsk	22296	HEFMT2
167	Litware LLC	53283	HEFMT2
168	Chronos Teknoloji	202365	HEFMT2
169	Mr. Hamel	21805	HEFMT2
170	UNLIMITED IS LIMITED, LLC	57870	HEFMT2
252	AS112	112	HEFMT2
